"CompType","CompInst","CAPEC","CAPECDescription","Confidentiality","Integrity","Availability","LikelihoodOfSuccess"
"Connection","cc2GNC.ImplGNC","CAPEC-22","Exploiting Trust in Client",null,null,"Availability",1.0
"Connection","cc2GNC.ImplGNC","CAPEC-242","Code Injection",null,"Integrity",null,1.0
"Connection","cc2GNC.ImplGNC","CAPEC-242","Code Injection","Confidentiality",null,null,1.0
"Connection","cc2GNC.ImplGNC","CAPEC-242","Code Injection",null,null,"Availability",1.0
"Connection","cc2GNC.ImplGNC","CAPEC-248","Command Injection",null,"Integrity",null,1.0
"Connection","cc2GNC.ImplGNC","CAPEC-248","Command Injection","Confidentiality",null,null,1.0
"Connection","cc2GNC.ImplGNC","CAPEC-248","Command Injection",null,null,"Availability",1.0
"Connection","cc2GNC.ImplGNC","CAPEC-586","Object Injection",null,"Integrity",null,1.0
"Connection","cc2GNC.ImplGNC","CAPEC-586","Object Injection",null,null,"Availability",1.0
"Connection","cc2GNC.ImplGNC","CAPEC-594","Traffic Injection",null,"Integrity",null,1.0
"Connection","cc2GNC.ImplGNC","CAPEC-594","Traffic Injection",null,null,"Availability",1.0
"Connection","cc3GNC.ImplGNC","CAPEC-137","Parameter Injection",null,"Integrity",null,1.0
"Connection","cc3GNC.ImplGNC","CAPEC-148","Content Spoofing",null,"Integrity",null,1.0
"Connection","cc3GNC.ImplGNC","CAPEC-151","Identity Spoofing",null,"Integrity",null,1.0
"Connection","cc3GNC.ImplGNC","CAPEC-151","Identity Spoofing","Confidentiality",null,null,1.0
"Connection","cc3GNC.ImplGNC","CAPEC-175","Code Inclusion",null,"Integrity",null,1.0
"Connection","cc3GNC.ImplGNC","CAPEC-22","Exploiting Trust in Client",null,"Integrity",null,1.0
"Connection","cc3GNC.ImplGNC","CAPEC-22","Exploiting Trust in Client","Confidentiality",null,null,1.0
"Connection","cc3GNC.ImplGNC","CAPEC-22","Exploiting Trust in Client",null,null,"Availability",1.0
"Connection","cc3GNC.ImplGNC","CAPEC-242","Code Injection",null,"Integrity",null,1.0
"Connection","cc3GNC.ImplGNC","CAPEC-242","Code Injection","Confidentiality",null,null,1.0
"Connection","cc3GNC.ImplGNC","CAPEC-242","Code Injection",null,null,"Availability",1.0
"Connection","cc3GNC.ImplGNC","CAPEC-248","Command Injection",null,"Integrity",null,1.0
"Connection","cc3GNC.ImplGNC","CAPEC-248","Command Injection","Confidentiality",null,null,1.0
"Connection","cc3GNC.ImplGNC","CAPEC-248","Command Injection",null,null,"Availability",1.0
"Connection","cc3GNC.ImplGNC","CAPEC-586","Object Injection",null,"Integrity",null,1.0
"Connection","cc3GNC.ImplGNC","CAPEC-586","Object Injection",null,null,"Availability",1.0
"Connection","cc3GNC.ImplGNC","CAPEC-594","Traffic Injection",null,"Integrity",null,1.0
"Connection","cc3GNC.ImplGNC","CAPEC-594","Traffic Injection",null,null,"Availability",1.0
"Connection","cc4GNC.ImplGNC","CAPEC-117","Interception","Confidentiality",null,null,1.0
"Connection","cc4GNC.ImplGNC","CAPEC-192","Protocol Analysis","Confidentiality",null,null,1.0
"Connection","cc5GNC.ImplGNC","CAPEC-117","Interception","Confidentiality",null,null,1.0
"Connection","cc5GNC.ImplGNC","CAPEC-192","Protocol Analysis","Confidentiality",null,null,1.0
"Connection","cc6GNC.ImplGNC","CAPEC-137","Parameter Injection",null,"Integrity",null,1.0
"Connection","cc6GNC.ImplGNC","CAPEC-148","Content Spoofing",null,"Integrity",null,1.0
"Connection","cc6GNC.ImplGNC","CAPEC-151","Identity Spoofing",null,"Integrity",null,1.0
"Connection","cc6GNC.ImplGNC","CAPEC-151","Identity Spoofing","Confidentiality",null,null,1.0
"Connection","cc6GNC.ImplGNC","CAPEC-175","Code Inclusion",null,"Integrity",null,1.0
"Connection","cc6GNC.ImplGNC","CAPEC-22","Exploiting Trust in Client",null,"Integrity",null,1.0
"Connection","cc6GNC.ImplGNC","CAPEC-22","Exploiting Trust in Client","Confidentiality",null,null,1.0
"Connection","cc6GNC.ImplGNC","CAPEC-22","Exploiting Trust in Client",null,null,"Availability",1.0
"Connection","cc6GNC.ImplGNC","CAPEC-242","Code Injection",null,"Integrity",null,1.0
"Connection","cc6GNC.ImplGNC","CAPEC-242","Code Injection","Confidentiality",null,null,1.0
"Connection","cc6GNC.ImplGNC","CAPEC-242","Code Injection",null,null,"Availability",1.0
"Connection","cc6GNC.ImplGNC","CAPEC-248","Command Injection",null,"Integrity",null,1.0
"Connection","cc6GNC.ImplGNC","CAPEC-248","Command Injection","Confidentiality",null,null,1.0
"Connection","cc6GNC.ImplGNC","CAPEC-248","Command Injection",null,null,"Availability",1.0
"Connection","cc6GNC.ImplGNC","CAPEC-586","Object Injection",null,"Integrity",null,1.0
"Connection","cc6GNC.ImplGNC","CAPEC-586","Object Injection",null,null,"Availability",1.0
"Connection","cc6GNC.ImplGNC","CAPEC-594","Traffic Injection",null,"Integrity",null,1.0
"Connection","cc6GNC.ImplGNC","CAPEC-594","Traffic Injection",null,null,"Availability",1.0
"Actuation","actuation","CAPEC-188","Reverse Engineering","Confidentiality",null,null,1.0
"Actuation","actuation","CAPEC-390","Bypassing Physical Security",null,"Integrity",null,1.0
"Actuation","actuation","CAPEC-390","Bypassing Physical Security","Confidentiality",null,null,1.0
"Actuation","actuation","CAPEC-390","Bypassing Physical Security",null,null,"Availability",1.0
"Actuation","actuation","CAPEC-440","Hardware Integrity Attack",null,"Integrity",null,1.0
"Actuation","actuation","CAPEC-507","Physical Theft",null,"Integrity",null,1.0
"Actuation","actuation","CAPEC-507","Physical Theft","Confidentiality",null,null,1.0
"Actuation","actuation","CAPEC-507","Physical Theft",null,null,"Availability",1.0
"Actuation","actuation","CAPEC-624","Fault Injection",null,"Integrity",null,1.0
"Actuation","actuation","CAPEC-624","Fault Injection","Confidentiality",null,null,1.0
"Camera","camera","CAPEC-188","Reverse Engineering","Confidentiality",null,null,1.0
"Camera","camera","CAPEC-390","Bypassing Physical Security",null,"Integrity",null,1.0
"Camera","camera","CAPEC-390","Bypassing Physical Security","Confidentiality",null,null,1.0
"Camera","camera","CAPEC-390","Bypassing Physical Security",null,null,"Availability",1.0
"Camera","camera","CAPEC-440","Hardware Integrity Attack",null,"Integrity",null,1.0
"Camera","camera","CAPEC-507","Physical Theft",null,"Integrity",null,1.0
"Camera","camera","CAPEC-507","Physical Theft","Confidentiality",null,null,1.0
"Camera","camera","CAPEC-507","Physical Theft",null,null,"Availability",1.0
"Camera","camera","CAPEC-624","Fault Injection",null,"Integrity",null,1.0
"Camera","camera","CAPEC-624","Fault Injection","Confidentiality",null,null,1.0
"Connector","connector","CAPEC-123","Buffer Manipulation",null,"Integrity",null,1.0
"Connector","connector","CAPEC-123","Buffer Manipulation",null,null,"Availability",1.0
"Connector","connector","CAPEC-125","Flooding",null,null,"Availability",1.0
"Connector","connector","CAPEC-130","Excessive Allocation",null,null,"Availability",1.0
"Connector","connector","CAPEC-131","Resource Leak Exposure",null,null,"Availability",1.0
"Connector","connector","CAPEC-137","Parameter Injection",null,"Integrity",null,1.0
"Connector","connector","CAPEC-148","Content Spoofing",null,"Integrity",null,1.0
"Connector","connector","CAPEC-151","Identity Spoofing",null,"Integrity",null,1.0
"Connector","connector","CAPEC-175","Code Inclusion",null,"Integrity",null,1.0
"Connector","connector","CAPEC-176","Configuration/Environment Manipulation",null,"Integrity",null,1.0
"Connector","connector","CAPEC-184","Software Integrity Attack",null,"Integrity",null,1.0
"Connector","connector","CAPEC-188","Reverse Engineering","Confidentiality",null,null,1.0
"Connector","connector","CAPEC-242","Code Injection",null,"Integrity",null,1.0
"Connector","connector","CAPEC-242","Code Injection",null,null,"Availability",1.0
"Connector","connector","CAPEC-248","Command Injection",null,"Integrity",null,1.0
"Connector","connector","CAPEC-248","Command Injection",null,null,"Availability",1.0
"Connector","connector","CAPEC-25","Forced Deadlock",null,null,"Availability",1.0
"Connector","connector","CAPEC-26","Leveraging Race Conditions",null,"Integrity",null,1.0
"Connector","connector","CAPEC-28","Fuzzing",null,"Integrity",null,1.0
"Connector","connector","CAPEC-28","Fuzzing",null,null,"Availability",1.0
"Connector","connector","CAPEC-438","Modification During Manufacture",null,"Integrity",null,1.0
"Connector","connector","CAPEC-439","Manipulation During Distribution",null,"Integrity",null,1.0
"Connector","connector","CAPEC-440","Hardware Integrity Attack",null,"Integrity",null,1.0
"Connector","connector","CAPEC-507","Physical Theft",null,"Integrity",null,1.0
"Connector","connector","CAPEC-507","Physical Theft","Confidentiality",null,null,1.0
"Connector","connector","CAPEC-507","Physical Theft",null,null,"Availability",1.0
"Connector","connector","CAPEC-549","Local Execution of Code",null,"Integrity",null,1.0
"Connector","connector","CAPEC-549","Local Execution of Code",null,null,"Availability",1.0
"Connector","connector","CAPEC-586","Object Injection",null,"Integrity",null,1.0
"Connector","connector","CAPEC-586","Object Injection",null,null,"Availability",1.0
"Connector","connector","CAPEC-594","Traffic Injection",null,"Integrity",null,1.0
"Connector","connector","CAPEC-594","Traffic Injection",null,null,"Availability",1.0
"Connector","connector","CAPEC-607","Obstruction",null,null,"Availability",1.0
"Connector","connector","CAPEC-624","Fault Injection",null,"Integrity",null,1.0
"Connector","connector","CAPEC-624","Fault Injection","Confidentiality",null,null,1.0
"Connector","connector","CAPEC-74","Manipulating User State",null,"Integrity",null,1.0
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-188","Reverse Engineering","Confidentiality",null,null,1.0
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-390","Bypassing Physical Security",null,"Integrity",null,1.0
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-390","Bypassing Physical Security","Confidentiality",null,null,1.0
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-390","Bypassing Physical Security",null,null,"Availability",1.0
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-440","Hardware Integrity Attack",null,"Integrity",null,1.0
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-507","Physical Theft",null,"Integrity",null,1.0
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-507","Physical Theft","Confidentiality",null,null,1.0
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-507","Physical Theft",null,null,"Availability",1.0
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-624","Fault Injection",null,"Integrity",null,1.0
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-624","Fault Injection","Confidentiality",null,null,1.0
"DeliveryPlanner","deliveryPlanner","CAPEC-176","Configuration/Environment Manipulation",null,"Integrity",null,1.0
"DeliveryPlanner","deliveryPlanner","CAPEC-184","Software Integrity Attack",null,"Integrity",null,1.0
"DeliveryPlanner","deliveryPlanner","CAPEC-188","Reverse Engineering","Confidentiality",null,null,1.0
"DeliveryPlanner","deliveryPlanner","CAPEC-390","Bypassing Physical Security",null,"Integrity",null,1.0
"DeliveryPlanner","deliveryPlanner","CAPEC-390","Bypassing Physical Security","Confidentiality",null,null,1.0
"DeliveryPlanner","deliveryPlanner","CAPEC-390","Bypassing Physical Security",null,null,"Availability",1.0
"DeliveryPlanner","deliveryPlanner","CAPEC-440","Hardware Integrity Attack",null,"Integrity",null,1.0
"DeliveryPlanner","deliveryPlanner","CAPEC-507","Physical Theft",null,"Integrity",null,1.0
"DeliveryPlanner","deliveryPlanner","CAPEC-507","Physical Theft","Confidentiality",null,null,1.0
"DeliveryPlanner","deliveryPlanner","CAPEC-507","Physical Theft",null,null,"Availability",1.0
"DeliveryPlanner","deliveryPlanner","CAPEC-549","Local Execution of Code",null,"Integrity",null,1.0
"DeliveryPlanner","deliveryPlanner","CAPEC-549","Local Execution of Code",null,null,"Availability",1.0
"DeliveryPlanner","deliveryPlanner","CAPEC-624","Fault Injection",null,"Integrity",null,1.0
"DeliveryPlanner","deliveryPlanner","CAPEC-624","Fault Injection","Confidentiality",null,null,1.0
"FlightControl","fc","CAPEC-116","Excavation","Confidentiality",null,null,1.0
"FlightControl","fc","CAPEC-123","Buffer Manipulation",null,"Integrity",null,1.0
"FlightControl","fc","CAPEC-123","Buffer Manipulation","Confidentiality",null,null,1.0
"FlightControl","fc","CAPEC-123","Buffer Manipulation",null,null,"Availability",1.0
"FlightControl","fc","CAPEC-125","Flooding",null,null,"Availability",1.0
"FlightControl","fc","CAPEC-130","Excessive Allocation",null,null,"Availability",1.0
"FlightControl","fc","CAPEC-131","Resource Leak Exposure",null,null,"Availability",1.0
"FlightControl","fc","CAPEC-137","Parameter Injection",null,"Integrity",null,1.0
"FlightControl","fc","CAPEC-148","Content Spoofing",null,"Integrity",null,1.0
"FlightControl","fc","CAPEC-151","Identity Spoofing",null,"Integrity",null,1.0
"FlightControl","fc","CAPEC-151","Identity Spoofing","Confidentiality",null,null,1.0
"FlightControl","fc","CAPEC-169","Footprinting","Confidentiality",null,null,1.0
"FlightControl","fc","CAPEC-175","Code Inclusion",null,"Integrity",null,1.0
"FlightControl","fc","CAPEC-176","Configuration/Environment Manipulation",null,"Integrity",null,1.0
"FlightControl","fc","CAPEC-184","Software Integrity Attack",null,"Integrity",null,1.0
"FlightControl","fc","CAPEC-188","Reverse Engineering","Confidentiality",null,null,1.0
"FlightControl","fc","CAPEC-192","Protocol Analysis","Confidentiality",null,null,1.0
"FlightControl","fc","CAPEC-224","Fingerprinting","Confidentiality",null,null,1.0
"FlightControl","fc","CAPEC-242","Code Injection",null,"Integrity",null,1.0
"FlightControl","fc","CAPEC-242","Code Injection","Confidentiality",null,null,1.0
"FlightControl","fc","CAPEC-242","Code Injection",null,null,"Availability",1.0
"FlightControl","fc","CAPEC-248","Command Injection",null,"Integrity",null,1.0
"FlightControl","fc","CAPEC-248","Command Injection","Confidentiality",null,null,1.0
"FlightControl","fc","CAPEC-248","Command Injection",null,null,"Availability",1.0
"FlightControl","fc","CAPEC-25","Forced Deadlock",null,null,"Availability",1.0
"FlightControl","fc","CAPEC-26","Leveraging Race Conditions",null,"Integrity",null,1.0
"FlightControl","fc","CAPEC-26","Leveraging Race Conditions","Confidentiality",null,null,1.0
"FlightControl","fc","CAPEC-28","Fuzzing",null,"Integrity",null,1.0
"FlightControl","fc","CAPEC-28","Fuzzing","Confidentiality",null,null,1.0
"FlightControl","fc","CAPEC-28","Fuzzing",null,null,"Availability",1.0
"FlightControl","fc","CAPEC-549","Local Execution of Code",null,"Integrity",null,1.0
"FlightControl","fc","CAPEC-549","Local Execution of Code","Confidentiality",null,null,1.0
"FlightControl","fc","CAPEC-549","Local Execution of Code",null,null,"Availability",1.0
"FlightControl","fc","CAPEC-586","Object Injection",null,"Integrity",null,1.0
"FlightControl","fc","CAPEC-586","Object Injection",null,null,"Availability",1.0
"FlightControl","fc","CAPEC-594","Traffic Injection",null,"Integrity",null,1.0
"FlightControl","fc","CAPEC-594","Traffic Injection",null,null,"Availability",1.0
"FlightControl","fc","CAPEC-607","Obstruction",null,null,"Availability",1.0
"FlightControl","fc","CAPEC-624","Fault Injection",null,"Integrity",null,1.0
"FlightControl","fc","CAPEC-624","Fault Injection","Confidentiality",null,null,1.0
"FlightControl","fc","CAPEC-74","Manipulating User State",null,"Integrity",null,1.0
"FlightControl","fc","CAPEC-74","Manipulating User State","Confidentiality",null,null,1.0
"GNC","gnc","CAPEC-176","Configuration/Environment Manipulation",null,"Integrity",null,1.0
"GNC","gnc","CAPEC-184","Software Integrity Attack",null,"Integrity",null,1.0
"GNC","gnc","CAPEC-188","Reverse Engineering","Confidentiality",null,null,1.0
"GNC","gnc","CAPEC-624","Fault Injection",null,"Integrity",null,1.0
"GNC","gnc","CAPEC-624","Fault Injection","Confidentiality",null,null,1.0
"GPS","gps","CAPEC-176","Configuration/Environment Manipulation",null,"Integrity",null,1.0
"GPS","gps","CAPEC-184","Software Integrity Attack",null,"Integrity",null,1.0
"GPS","gps","CAPEC-188","Reverse Engineering","Confidentiality",null,null,1.0
"GPS","gps","CAPEC-438","Modification During Manufacture",null,"Integrity",null,1.0
"GPS","gps","CAPEC-439","Manipulation During Distribution",null,"Integrity",null,1.0
"GPS","gps","CAPEC-440","Hardware Integrity Attack",null,"Integrity",null,1.0
"GPS","gps","CAPEC-507","Physical Theft",null,"Integrity",null,1.0
"GPS","gps","CAPEC-507","Physical Theft","Confidentiality",null,null,1.0
"GPS","gps","CAPEC-507","Physical Theft",null,null,"Availability",1.0
"GPS","gps","CAPEC-549","Local Execution of Code",null,"Integrity",null,1.0
"GPS","gps","CAPEC-549","Local Execution of Code",null,null,"Availability",1.0
"GPS","gps","CAPEC-624","Fault Injection",null,"Integrity",null,1.0
"GPS","gps","CAPEC-624","Fault Injection","Confidentiality",null,null,1.0
"IMU","imu","CAPEC-176","Configuration/Environment Manipulation",null,"Integrity",null,1.0
"IMU","imu","CAPEC-184","Software Integrity Attack",null,"Integrity",null,1.0
"IMU","imu","CAPEC-188","Reverse Engineering","Confidentiality",null,null,1.0
"IMU","imu","CAPEC-390","Bypassing Physical Security",null,"Integrity",null,1.0
"IMU","imu","CAPEC-390","Bypassing Physical Security","Confidentiality",null,null,1.0
"IMU","imu","CAPEC-390","Bypassing Physical Security",null,null,"Availability",1.0
"IMU","imu","CAPEC-440","Hardware Integrity Attack",null,"Integrity",null,1.0
"IMU","imu","CAPEC-507","Physical Theft",null,"Integrity",null,1.0
"IMU","imu","CAPEC-507","Physical Theft","Confidentiality",null,null,1.0
"IMU","imu","CAPEC-507","Physical Theft",null,null,"Availability",1.0
"IMU","imu","CAPEC-549","Local Execution of Code",null,"Integrity",null,1.0
"IMU","imu","CAPEC-549","Local Execution of Code",null,null,"Availability",1.0
"IMU","imu","CAPEC-624","Fault Injection",null,"Integrity",null,1.0
"IMU","imu","CAPEC-624","Fault Injection","Confidentiality",null,null,1.0
"Navigation","navigation","CAPEC-112","Brute Force",null,"Integrity",null,1.0
"Navigation","navigation","CAPEC-112","Brute Force","Confidentiality",null,null,1.0
"Navigation","navigation","CAPEC-112","Brute Force",null,null,"Availability",1.0
"Navigation","navigation","CAPEC-116","Excavation","Confidentiality",null,null,1.0
"Navigation","navigation","CAPEC-123","Buffer Manipulation",null,"Integrity",null,1.0
"Navigation","navigation","CAPEC-123","Buffer Manipulation","Confidentiality",null,null,1.0
"Navigation","navigation","CAPEC-123","Buffer Manipulation",null,null,"Availability",1.0
"Navigation","navigation","CAPEC-125","Flooding",null,null,"Availability",1.0
"Navigation","navigation","CAPEC-130","Excessive Allocation",null,null,"Availability",1.0
"Navigation","navigation","CAPEC-131","Resource Leak Exposure",null,null,"Availability",1.0
"Navigation","navigation","CAPEC-137","Parameter Injection",null,"Integrity",null,1.0
"Navigation","navigation","CAPEC-148","Content Spoofing",null,"Integrity",null,1.0
"Navigation","navigation","CAPEC-151","Identity Spoofing",null,"Integrity",null,1.0
"Navigation","navigation","CAPEC-151","Identity Spoofing","Confidentiality",null,null,1.0
"Navigation","navigation","CAPEC-169","Footprinting","Confidentiality",null,null,1.0
"Navigation","navigation","CAPEC-175","Code Inclusion",null,"Integrity",null,1.0
"Navigation","navigation","CAPEC-176","Configuration/Environment Manipulation",null,"Integrity",null,1.0
"Navigation","navigation","CAPEC-184","Software Integrity Attack",null,"Integrity",null,1.0
"Navigation","navigation","CAPEC-188","Reverse Engineering","Confidentiality",null,null,1.0
"Navigation","navigation","CAPEC-192","Protocol Analysis","Confidentiality",null,null,1.0
"Navigation","navigation","CAPEC-224","Fingerprinting","Confidentiality",null,null,1.0
"Navigation","navigation","CAPEC-242","Code Injection",null,"Integrity",null,1.0
"Navigation","navigation","CAPEC-242","Code Injection","Confidentiality",null,null,1.0
"Navigation","navigation","CAPEC-242","Code Injection",null,null,"Availability",1.0
"Navigation","navigation","CAPEC-248","Command Injection",null,"Integrity",null,1.0
"Navigation","navigation","CAPEC-248","Command Injection","Confidentiality",null,null,1.0
"Navigation","navigation","CAPEC-248","Command Injection",null,null,"Availability",1.0
"Navigation","navigation","CAPEC-25","Forced Deadlock",null,null,"Availability",1.0
"Navigation","navigation","CAPEC-26","Leveraging Race Conditions",null,"Integrity",null,1.0
"Navigation","navigation","CAPEC-26","Leveraging Race Conditions","Confidentiality",null,null,1.0
"Navigation","navigation","CAPEC-28","Fuzzing",null,"Integrity",null,1.0
"Navigation","navigation","CAPEC-28","Fuzzing","Confidentiality",null,null,1.0
"Navigation","navigation","CAPEC-28","Fuzzing",null,null,"Availability",1.0
"Navigation","navigation","CAPEC-549","Local Execution of Code",null,"Integrity",null,1.0
"Navigation","navigation","CAPEC-549","Local Execution of Code","Confidentiality",null,null,1.0
"Navigation","navigation","CAPEC-549","Local Execution of Code",null,null,"Availability",1.0
"Navigation","navigation","CAPEC-586","Object Injection",null,"Integrity",null,1.0
"Navigation","navigation","CAPEC-586","Object Injection",null,null,"Availability",1.0
"Navigation","navigation","CAPEC-594","Traffic Injection",null,"Integrity",null,1.0
"Navigation","navigation","CAPEC-594","Traffic Injection",null,null,"Availability",1.0
"Navigation","navigation","CAPEC-607","Obstruction",null,null,"Availability",1.0
"Navigation","navigation","CAPEC-624","Fault Injection",null,"Integrity",null,1.0
"Navigation","navigation","CAPEC-624","Fault Injection","Confidentiality",null,null,1.0
"Navigation","navigation","CAPEC-74","Manipulating User State",null,"Integrity",null,1.0
"Navigation","navigation","CAPEC-74","Manipulating User State","Confidentiality",null,null,1.0
"PositionEstimator","positionEstimator","CAPEC-176","Configuration/Environment Manipulation",null,"Integrity",null,1.0
"PositionEstimator","positionEstimator","CAPEC-184","Software Integrity Attack",null,"Integrity",null,1.0
"PositionEstimator","positionEstimator","CAPEC-188","Reverse Engineering","Confidentiality",null,null,1.0
"PositionEstimator","positionEstimator","CAPEC-438","Modification During Manufacture",null,"Integrity",null,1.0
"PositionEstimator","positionEstimator","CAPEC-439","Manipulation During Distribution",null,"Integrity",null,1.0
"PositionEstimator","positionEstimator","CAPEC-549","Local Execution of Code",null,"Integrity",null,1.0
"PositionEstimator","positionEstimator","CAPEC-549","Local Execution of Code",null,null,"Availability",1.0
"PositionEstimator","positionEstimator","CAPEC-624","Fault Injection",null,"Integrity",null,1.0
"PositionEstimator","positionEstimator","CAPEC-624","Fault Injection","Confidentiality",null,null,1.0
"Radio","radio","CAPEC-176","Configuration/Environment Manipulation",null,"Integrity",null,1.0
"Radio","radio","CAPEC-184","Software Integrity Attack",null,"Integrity",null,1.0
"Radio","radio","CAPEC-188","Reverse Engineering","Confidentiality",null,null,1.0
"Radio","radio","CAPEC-390","Bypassing Physical Security",null,"Integrity",null,1.0
"Radio","radio","CAPEC-390","Bypassing Physical Security","Confidentiality",null,null,1.0
"Radio","radio","CAPEC-390","Bypassing Physical Security",null,null,"Availability",1.0
"Radio","radio","CAPEC-440","Hardware Integrity Attack",null,"Integrity",null,1.0
"Radio","radio","CAPEC-507","Physical Theft",null,"Integrity",null,1.0
"Radio","radio","CAPEC-507","Physical Theft","Confidentiality",null,null,1.0
"Radio","radio","CAPEC-507","Physical Theft",null,null,"Availability",1.0
"Radio","radio","CAPEC-549","Local Execution of Code",null,"Integrity",null,1.0
"Radio","radio","CAPEC-549","Local Execution of Code",null,null,"Availability",1.0
"Radio","radio","CAPEC-624","Fault Injection",null,"Integrity",null,1.0
"Radio","radio","CAPEC-624","Fault Injection","Confidentiality",null,null,1.0
