"CompType","CompInst","CAPEC","Confidentiality","Integrity","Availability","ApplicableDefenseProperties","ImplProperties","DAL"
"FlightControl","fc","CAPEC-440",null,"Integrity",null,"TamperProtection;null","null;null","null;null"
"FlightControl","fc","CAPEC-507",null,"Integrity",null,"PhysicalAccessControl;null","null;null","null;null"
"FlightControl","fc","CAPEC-507",null,null,"Availability","PhysicalAccessControl;null","null;null","null;null"
"GPS","gps","CAPEC-114",null,"Integrity",null,"StaticCodeAnalysis;null","null;null","null;null"
"GPS","gps","CAPEC-114",null,null,"Availability","StaticCodeAnalysis;null","null;null","null;null"
"GPS","gps","CAPEC-115",null,"Integrity",null,"StaticCodeAnalysis;null","null;null","null;null"
"GPS","gps","CAPEC-115",null,null,"Availability","StaticCodeAnalysis;null","null;null","null;null"
"GPS","gps","CAPEC-125",null,null,"Availability","DosProtection;null","dosProtection;null","7;null"
"GPS","gps","CAPEC-130",null,null,"Availability","ResourceAvailability;null","null;null","null;null"
"GPS","gps","CAPEC-131",null,null,"Availability","ResourceAvailability;null","null;null","null;null"
"GPS","gps","CAPEC-151",null,"Integrity",null,"DeviceAuthentication;null","deviceAuthentication;null","7;null"
"GPS","gps","CAPEC-151",null,"Integrity",null,"Heterogeneity;null","heterogeneity;null","7;null"
"GPS","gps","CAPEC-151",null,"Integrity",null,"PhysicalAccessControl;null","null;null","null;null"
"GPS","gps","CAPEC-21",null,"Integrity",null,"SessionAuthenticity;null","null;null","null;null"
"GPS","gps","CAPEC-22",null,"Integrity",null,"DeviceAuthentication;null","deviceAuthentication;null","7;null"
"GPS","gps","CAPEC-22",null,null,"Availability","DeviceAuthentication;null","deviceAuthentication;null","7;null"
"GPS","gps","CAPEC-25",null,null,"Availability","StaticCodeAnalysis;null","null;null","null;null"
"GPS","gps","CAPEC-26",null,"Integrity",null,"StaticCodeAnalysis;null","null;null","null;null"
"GPS","gps","CAPEC-28",null,"Integrity",null,"InputValidation;null","inputValidation;null","7;null"
"GPS","gps","CAPEC-28",null,null,"Availability","InputValidation;null","inputValidation;null","7;null"
"GPS","gps","CAPEC-438",null,"Integrity",null,"SupplyChainSecurity;null","null;null","null;null"
"GPS","gps","CAPEC-439",null,"Integrity",null,"SupplyChainSecurity;null","null;null","null;null"
"GPS","gps","CAPEC-440",null,"Integrity",null,"PhysicalAccessControl;null","null;null","null;null"
"GPS","gps","CAPEC-440",null,"Integrity",null,"TamperProtection;null","null;null","null;null"
"GPS","gps","CAPEC-507",null,"Integrity",null,"PhysicalAccessControl;null","null;null","null;null"
"GPS","gps","CAPEC-507",null,null,"Availability","PhysicalAccessControl;null","null;null","null;null"
"GPS","gps","CAPEC-607",null,null,"Availability","AntiJamming;null","null;null","null;null"
"GPS","gps","CAPEC-624",null,"Integrity",null,"PhysicalAccessControl;null","null;null","null;null"
"GPS","gps","CAPEC-74",null,"Integrity",null,"StaticCodeAnalysis;InputValidation","null;inputValidation","null;7"
"IMU","imu","CAPEC-184",null,"Integrity",null,"MemoryProtection;SecureBoot","null;null","null;null"
"IMU","imu","CAPEC-438",null,"Integrity",null,"SupplyChainSecurity;null","null;null","null;null"
"IMU","imu","CAPEC-439",null,"Integrity",null,"SupplyChainSecurity;null","null;null","null;null"
"IMU","imu","CAPEC-440",null,"Integrity",null,"PhysicalAccessControl;null","null;null","null;null"
"IMU","imu","CAPEC-440",null,"Integrity",null,"TamperProtection;null","null;null","null;null"
"IMU","imu","CAPEC-507",null,"Integrity",null,"PhysicalAccessControl;null","null;null","null;null"
"IMU","imu","CAPEC-507",null,null,"Availability","PhysicalAccessControl;null","null;null","null;null"
"IMU","imu","CAPEC-624",null,"Integrity",null,"PhysicalAccessControl;null","null;null","null;null"
"Navigation","navigation","CAPEC-439",null,"Integrity",null,"SupplyChainSecurity;null","null;null","null;null"
"Navigation","navigation","CAPEC-440",null,"Integrity",null,"PhysicalAccessControl;null","null;null","null;null"
"Navigation","navigation","CAPEC-440",null,"Integrity",null,"TamperProtection;null","null;null","null;null"
"Navigation","navigation","CAPEC-507",null,"Integrity",null,"PhysicalAccessControl;null","null;null","null;null"
"Navigation","navigation","CAPEC-507",null,null,"Availability","PhysicalAccessControl;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-123",null,"Integrity",null,"StaticCodeAnalysis;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-123",null,null,"Availability","StaticCodeAnalysis;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-125",null,null,"Availability","DosProtection;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-130",null,null,"Availability","ResourceAvailability;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-131",null,null,"Availability","ResourceAvailability;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-137",null,"Integrity",null,"DeviceAuthentication;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-137",null,"Integrity",null,"Logging;InputValidation","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-148",null,"Integrity",null,"DeviceAuthentication;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-148",null,"Integrity",null,"Heterogeneity;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-148",null,"Integrity",null,"PhysicalAccessControl;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-151",null,"Integrity",null,"DeviceAuthentication;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-151",null,"Integrity",null,"Heterogeneity;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-151",null,"Integrity",null,"PhysicalAccessControl;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-175",null,"Integrity",null,"DeviceAuthentication;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-175",null,"Integrity",null,"Logging;InputValidation","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-22",null,"Integrity",null,"DeviceAuthentication;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-22",null,null,"Availability","DeviceAuthentication;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-242",null,"Integrity",null,"DeviceAuthentication;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-242",null,null,"Availability","DeviceAuthentication;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-242",null,"Integrity",null,"Logging;InputValidation","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-242",null,null,"Availability","Logging;InputValidation","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-248",null,"Integrity",null,"DeviceAuthentication;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-248",null,null,"Availability","DeviceAuthentication;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-248",null,"Integrity",null,"Logging;InputValidation","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-248",null,null,"Availability","Logging;InputValidation","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-25",null,null,"Availability","StaticCodeAnalysis;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-26",null,"Integrity",null,"StaticCodeAnalysis;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-28",null,"Integrity",null,"InputValidation;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-28",null,null,"Availability","InputValidation;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-439",null,"Integrity",null,"SupplyChainSecurity;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-440",null,"Integrity",null,"PhysicalAccessControl;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-440",null,"Integrity",null,"TamperProtection;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-507",null,"Integrity",null,"PhysicalAccessControl;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-507","Confidentiality",null,null,"PhysicalAccessControl;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-507",null,null,"Availability","PhysicalAccessControl;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-586",null,"Integrity",null,"DeviceAuthentication;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-586",null,null,"Availability","DeviceAuthentication;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-586",null,"Integrity",null,"Logging;InputValidation","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-586",null,null,"Availability","Logging;InputValidation","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-594",null,"Integrity",null,"DeviceAuthentication;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-594",null,null,"Availability","DeviceAuthentication;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-594",null,"Integrity",null,"Logging;InputValidation","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-594",null,null,"Availability","Logging;InputValidation","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-607",null,null,"Availability","AntiJamming;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-74",null,"Integrity",null,"StaticCodeAnalysis;InputValidation","null;null","null;null"
"Radio","radio","CAPEC-123",null,"Integrity",null,"StaticCodeAnalysis;null","staticCodeAnalysis;null","7;null"
"Radio","radio","CAPEC-123",null,null,"Availability","StaticCodeAnalysis;null","staticCodeAnalysis;null","7;null"
"Radio","radio","CAPEC-125",null,null,"Availability","DosProtection;null","null;null","null;null"
"Radio","radio","CAPEC-130",null,null,"Availability","ResourceAvailability;null","resourceAvailability;null","7;null"
"Radio","radio","CAPEC-131",null,null,"Availability","ResourceAvailability;null","resourceAvailability;null","7;null"
"Radio","radio","CAPEC-137",null,"Integrity",null,"DeviceAuthentication;null","null;null","null;null"
"Radio","radio","CAPEC-137",null,"Integrity",null,"Logging;InputValidation","null;null","null;null"
"Radio","radio","CAPEC-151",null,"Integrity",null,"DeviceAuthentication;null","null;null","null;null"
"Radio","radio","CAPEC-151",null,"Integrity",null,"Heterogeneity;null","null;null","null;null"
"Radio","radio","CAPEC-151",null,"Integrity",null,"PhysicalAccessControl;null","physicalAccessControl;null","7;null"
"Radio","radio","CAPEC-175",null,"Integrity",null,"DeviceAuthentication;null","null;null","null;null"
"Radio","radio","CAPEC-175",null,"Integrity",null,"Logging;InputValidation","null;null","null;null"
"Radio","radio","CAPEC-22",null,"Integrity",null,"DeviceAuthentication;null","null;null","null;null"
"Radio","radio","CAPEC-22",null,null,"Availability","DeviceAuthentication;null","null;null","null;null"
"Radio","radio","CAPEC-242",null,"Integrity",null,"DeviceAuthentication;null","null;null","null;null"
"Radio","radio","CAPEC-242",null,null,"Availability","DeviceAuthentication;null","null;null","null;null"
"Radio","radio","CAPEC-242",null,"Integrity",null,"Logging;InputValidation","null;null","null;null"
"Radio","radio","CAPEC-242",null,null,"Availability","Logging;InputValidation","null;null","null;null"
"Radio","radio","CAPEC-248",null,"Integrity",null,"DeviceAuthentication;null","null;null","null;null"
"Radio","radio","CAPEC-248",null,null,"Availability","DeviceAuthentication;null","null;null","null;null"
"Radio","radio","CAPEC-248",null,"Integrity",null,"Logging;InputValidation","null;null","null;null"
"Radio","radio","CAPEC-248",null,null,"Availability","Logging;InputValidation","null;null","null;null"
"Radio","radio","CAPEC-25",null,null,"Availability","StaticCodeAnalysis;null","staticCodeAnalysis;null","7;null"
"Radio","radio","CAPEC-26",null,"Integrity",null,"StaticCodeAnalysis;null","staticCodeAnalysis;null","7;null"
"Radio","radio","CAPEC-28",null,"Integrity",null,"InputValidation;null","null;null","null;null"
"Radio","radio","CAPEC-28",null,null,"Availability","InputValidation;null","null;null","null;null"
"Radio","radio","CAPEC-439",null,"Integrity",null,"SupplyChainSecurity;null","supplyChainSecurity;null","7;null"
"Radio","radio","CAPEC-440",null,"Integrity",null,"PhysicalAccessControl;null","physicalAccessControl;null","7;null"
"Radio","radio","CAPEC-440",null,"Integrity",null,"TamperProtection;null","tamperProtection;null","7;null"
"Radio","radio","CAPEC-507",null,"Integrity",null,"PhysicalAccessControl;null","physicalAccessControl;null","7;null"
"Radio","radio","CAPEC-507",null,null,"Availability","PhysicalAccessControl;null","physicalAccessControl;null","7;null"
"Radio","radio","CAPEC-586",null,"Integrity",null,"DeviceAuthentication;null","null;null","null;null"
"Radio","radio","CAPEC-586",null,null,"Availability","DeviceAuthentication;null","null;null","null;null"
"Radio","radio","CAPEC-586",null,"Integrity",null,"Logging;InputValidation","null;null","null;null"
"Radio","radio","CAPEC-586",null,null,"Availability","Logging;InputValidation","null;null","null;null"
"Radio","radio","CAPEC-594",null,"Integrity",null,"DeviceAuthentication;null","null;null","null;null"
"Radio","radio","CAPEC-594",null,null,"Availability","DeviceAuthentication;null","null;null","null;null"
"Radio","radio","CAPEC-594",null,"Integrity",null,"Logging;InputValidation","null;null","null;null"
"Radio","radio","CAPEC-594",null,null,"Availability","Logging;InputValidation","null;null","null;null"
"Radio","radio","CAPEC-607",null,null,"Availability","AntiJamming;null","null;null","null;null"
"Radio","radio","CAPEC-74",null,"Integrity",null,"StaticCodeAnalysis;InputValidation","staticCodeAnalysis;null","7;null"
